employee_id,age,department,city,experience_years,monthly_salary,satisfaction_score
1,44,Sales,Hyderabad,22,135100.0,9.5
2,30,Sales,Mumbai,7,70200.0,7.8
3,29,Engineering,Bangalore,7,72000.0,3.2
4,21,Finance,Mumbai,0,500000.0,6.3
5,32,Marketing,Bangalore,10,74900.0,4.1
6,30,Operations,Hyderabad,8,67800.0,5.8
7,28,Operations,Delhi,6,57400.0,8.9
8,34,Finance,Hyderabad,12,92100.0,8.9
9,35,Sales,Hyderabad,12,80100.0,8.5
10,25,Sales,Chennai,4,50900.0,5.0
11,26,Operations,Kolkata,4,30300.0,5.1
12,29,Engineering,Kolkata,6,63000.0,9.1
13,37,Finance,Pune,16,115100.0,9.1
14,36,Operations,Bangalore,13,88300.0,4.6
15,23,Sales,Pune,1,42800.0,6.5
16,24,HR,Kolkata,1,21200.0,6.7
17,37,Engineering,Hyderabad,16,99300.0,8.0
18,43,HR,Bangalore,22,116600.0,7.3
19,32,Engineering,Bangalore,9,73000.0,8.6
20,27,Operations,Kolkata,4,52200.0,3.6
21,40,Engineering,Bangalore,17,95500.0,8.4
22,30,Sales,Mumbai,7,54700.0,7.7
23,37,Marketing,Bangalore,14,88300.0,5.6
24,43,Finance,Chennai,20,139400.0,4.2
25,36,Sales,Pune,14,92400.0,6.3
26,33,Sales,Kolkata,12,84900.0,9.1
27,37,Operations,Chennai,14,95900.0,9.8
28,28,HR,Bangalore,5,54900.0,7.9
29,31,Marketing,Chennai,10,73100.0,9.1
30,28,Marketing,Delhi,6,46300.0,8.3
31,31,Marketing,Pune,8,60600.0,8.9
32,29,Engineering,Kolkata,6,70100.0,8.6
33,31,Marketing,Hyderabad,10,77000.0,8.4
34,29,Engineering,Chennai,8,63000.0,8.3
35,33,Sales,Kolkata,11,68700.0,
36,32,Marketing,Hyderabad,9,70000.0,6.8
37,34,Finance,Delhi,12,84200.0,7.3
38,42,Finance,Bangalore,19,110300.0,6.6
39,21,Engineering,Kolkata,0,37100.0,9.8
40,41,Sales,Hyderabad,20,115300.0,8.9
41,30,Marketing,Hyderabad,9,69100.0,6.5
42,23,Finance,Kolkata,1,41200.0,2.8
43,31,Operations,Pune,8,67800.0,9.7
44,33,Sales,Bangalore,12,93000.0,
45,39,Operations,Delhi,18,109200.0,7.5
46,25,HR,Hyderabad,3,40000.0,8.8
47,34,Marketing,Hyderabad,12,87700.0,5.4
48,33,Engineering,Delhi,11,81200.0,4.3
49,21,Engineering,Hyderabad,0,39500.0,6.8
50,24,Finance,Pune,1,37700.0,6.6
51,36,HR,Bangalore,15,97300.0,7.7
52,37,Finance,Kolkata,15,101100.0,7.5
53,40,Sales,Bangalore,19,120700.0,6.0
54,36,Sales,Hyderabad,15,88500.0,8.6
55,35,HR,Kolkata,14,91900.0,4.3
56,33,Engineering,Mumbai,11,76800.0,
57,40,Engineering,Chennai,19,125100.0,8.8
58,26,Marketing,Delhi,3,39600.0,6.3
59,31,HR,Kolkata,10,83500.0,5.1
60,35,Finance,Hyderabad,12,73900.0,6.6
61,21,Sales,Pune,0,29600.0,7.6
62,41,Sales,Bangalore,20,128500.0,7.9
63,26,Engineering,Kolkata,4,45900.0,6.2
64,31,Marketing,Bangalore,10,84200.0,8.8
65,47,Operations,Delhi,25,126300.0,8.9
66,26,Marketing,Mumbai,5,52700.0,9.0
67,28,Finance,Hyderabad,7,62800.0,8.1
68,43,Engineering,Delhi,21,123500.0,7.4
69,24,Sales,Bangalore,2,26900.0,
70,29,HR,Pune,8,71300.0,7.6
71,36,Engineering,Chennai,13,69900.0,8.9
72,35,Finance,Delhi,12,91600.0,4.4
73,36,HR,Mumbai,15,99800.0,8.3
74,35,HR,Mumbai,14,100900.0,6.7
75,41,Engineering,Hyderabad,20,118000.0,9.6
76,39,Operations,Delhi,16,93100.0,8.5
77,36,Engineering,Chennai,14,88900.0,6.3
78,27,Engineering,Bangalore,5,48800.0,9.5
79,27,Engineering,Pune,4,52800.0,4.4
80,21,Marketing,Bangalore,0,27500.0,
81,37,Marketing,Mumbai,16,105300.0,6.8
82,21,Operations,Hyderabad,0,33900.0,4.0
83,38,Sales,Hyderabad,16,113400.0,8.5
84,45,Sales,Mumbai,23,117600.0,6.6
85,25,HR,Delhi,2,35800.0,8.6
86,27,Marketing,Bangalore,5,58000.0,6.9
87,29,HR,Delhi,6,62600.0,9.1
88,38,HR,Kolkata,16,97600.0,7.0
89,26,Finance,Pune,5,50500.0,5.9
90,31,HR,Kolkata,9,69800.0,5.6
91,28,Engineering,Kolkata,6,58100.0,8.5
92,30,Sales,Mumbai,7,57100.0,8.5
93,41,Sales,Delhi,19,110500.0,8.3
94,25,HR,Hyderabad,4,39200.0,5.4
95,33,Finance,Kolkata,10,72100.0,6.9
96,34,Finance,Chennai,11,90700.0,7.5
97,38,Finance,Mumbai,17,99000.0,7.0
98,23,Finance,Hyderabad,0,37800.0,5.9
99,40,Sales,Chennai,18,126700.0,8.3
100,35,Operations,Bangalore,14,94800.0,8.6
101,38,Engineering,Delhi,17,125500.0,7.2
