applicant_id,age,education,city_tier,employment_type,annual_income,credit_score,loan_amount,years_at_job,loan_approved
1,22,High School,Tier 1,Self-Employed,19900.0,873,229000.0,4,1
2,35,Masters,Tier 1,Unemployed,63600.0,622,241000.0,23,1
3,25,High School,Tier 3,Salaried,68100.0,356,318000.0,11,1
4,56,Masters,Tier 2,Self-Employed,51800.0,409,303000.0,1,0
5,37,Bachelors,Tier 2,Salaried,54900.0,361,148000.0,23,0
6,43,Bachelors,Tier 3,Salaried,51000.0,584,311000.0,17,1
7,24,Masters,Tier 2,Salaried,79400.0,828,247000.0,21,1
8,22,Bachelors,Tier 1,Self-Employed,45100.0,539,182000.0,23,1
9,53,High School,Tier 1,Self-Employed,22700.0,566,132000.0,26,1
10,35,High School,Tier 2,Self-Employed,40900.0,461,282000.0,13,0
11,37,High School,Tier 2,Salaried,64700.0,508,275000.0,29,1
12,24,Masters,Tier 3,Self-Employed,46300.0,669,160000.0,23,1
13,22,Bachelors,Tier 1,Unemployed,56500.0,360,230000.0,21,0
14,44,High School,Tier 2,Salaried,63600.0,852,165000.0,21,1
15,23,Masters,Tier 3,Self-Employed,83200.0,311,132000.0,19,0
16,28,High School,Tier 1,Salaried,40500.0,510,119000.0,14,1
17,34,Bachelors,Tier 1,Self-Employed,52000.0,527,257000.0,23,1
18,28,High School,Tier 1,Unemployed,35600.0,840,229000.0,19,1
19,51,Bachelors,Tier 2,Salaried,46100.0,783,235000.0,24,1
20,23,Bachelors,Tier 3,Self-Employed,58400.0,416,222000.0,15,1
21,22,Bachelors,Tier 2,Salaried,35400.0,552,207000.0,20,0
22,26,High School,Tier 3,Self-Employed,64100.0,654,284000.0,9,0
23,50,High School,Tier 2,Salaried,35600.0,502,55000.0,5,0
24,52,High School,Tier 1,Self-Employed,38200.0,436,273000.0,12,0
25,55,Bachelors,Tier 1,Salaried,71100.0,689,99000.0,26,1
26,38,High School,Tier 1,Salaried,69300.0,881,183000.0,16,1
27,36,High School,Tier 2,Salaried,34400.0,851,211000.0,29,1
28,52,PhD,Tier 1,Self-Employed,63700.0,702,203000.0,22,1
29,25,PhD,Tier 1,Salaried,65500.0,736,241000.0,29,1
30,45,High School,Tier 1,Salaried,63600.0,442,122000.0,6,0
31,34,High School,Tier 2,Salaried,62200.0,362,350000.0,4,1
32,39,High School,Tier 1,Salaried,80500.0,778,298000.0,27,0
33,30,Bachelors,Tier 1,Salaried,31400.0,418,247000.0,8,0
34,39,Masters,Tier 1,Self-Employed,97100.0,843,265000.0,11,1
35,43,High School,Tier 1,Salaried,24600.0,647,165000.0,18,1
36,56,Bachelors,Tier 1,Self-Employed,54000.0,599,45000.0,3,1
37,22,High School,Tier 3,Salaried,28100.0,484,63000.0,7,1
38,50,Bachelors,Tier 1,Salaried,58400.0,339,243000.0,2,0
39,29,Bachelors,Tier 1,Salaried,41000.0,303,20000.0,8,1
40,58,PhD,Tier 1,Salaried,74700.0,743,339000.0,14,1
41,26,High School,Tier 1,Salaried,63600.0,556,238000.0,29,1
42,50,Masters,Tier 1,Salaried,42000.0,357,116000.0,17,0
43,29,Masters,Tier 1,Self-Employed,45300.0,422,151000.0,16,0
44,26,Masters,Tier 3,Salaried,32800.0,888,58000.0,2,0
45,29,High School,Tier 2,Salaried,19500.0,801,189000.0,0,0
46,56,Bachelors,Tier 3,Salaried,89200.0,662,234000.0,26,1
47,53,PhD,Tier 1,Self-Employed,91900.0,362,307000.0,5,0
48,42,Bachelors,Tier 1,Unemployed,36300.0,423,86000.0,6,0
49,59,Masters,Tier 3,Unemployed,67200.0,611,295000.0,25,1
50,35,Bachelors,Tier 1,Salaried,56300.0,472,220000.0,16,0
51,28,Masters,Tier 3,Unemployed,38700.0,658,192000.0,4,1
52,46,Bachelors,Tier 3,Salaried,71300.0,800,203000.0,7,1
53,40,High School,Tier 1,Self-Employed,55100.0,616,233000.0,22,1
54,44,High School,Tier 1,Self-Employed,70300.0,684,364000.0,26,1
55,46,High School,Tier 2,Salaried,75600.0,559,332000.0,17,0
56,38,High School,Tier 1,Salaried,82300.0,852,273000.0,5,0
57,38,PhD,Tier 1,Salaried,50200.0,342,134000.0,17,0
58,46,Bachelors,Tier 1,Salaried,58400.0,398,180000.0,4,0
59,25,Masters,Tier 1,Salaried,75300.0,769,280000.0,11,0
60,57,Bachelors,Tier 1,Salaried,50200.0,627,233000.0,13,1
61,58,Bachelors,Tier 2,Self-Employed,43500.0,324,130000.0,11,0
62,23,Masters,Tier 3,Salaried,32000.0,632,364000.0,17,0
63,42,Masters,Tier 1,Self-Employed,57900.0,568,413000.0,2,1
64,59,Masters,Tier 3,Salaried,68100.0,591,248000.0,28,1
65,21,Masters,Tier 2,Salaried,53300.0,827,169000.0,25,1
66,44,High School,Tier 1,Salaried,59600.0,559,201000.0,11,0
67,49,Bachelors,Tier 1,Salaried,55900.0,673,110000.0,24,0
68,39,High School,Tier 2,Salaried,58100.0,491,95000.0,29,0
69,39,Bachelors,Tier 1,Self-Employed,60600.0,346,231000.0,7,0
70,42,Masters,Tier 1,Salaried,67300.0,508,180000.0,11,1
71,47,High School,Tier 1,Self-Employed,36300.0,550,283000.0,0,1
72,37,High School,Tier 3,Unemployed,45700.0,731,460000.0,7,0
73,31,Bachelors,Tier 1,Self-Employed,83500.0,571,244000.0,1,0
74,22,High School,Tier 1,Self-Employed,68200.0,457,202000.0,17,0
75,36,Masters,Tier 3,Salaried,66000.0,533,217000.0,1,0
76,27,Bachelors,Tier 3,Self-Employed,74900.0,509,242000.0,24,1
77,42,Bachelors,Tier 2,Salaried,75300.0,336,334000.0,21,1
78,22,Bachelors,Tier 1,Self-Employed,15800.0,324,220000.0,18,0
79,58,Bachelors,Tier 3,Salaried,39300.0,462,281000.0,6,0
80,54,Masters,Tier 1,Salaried,29200.0,498,112000.0,5,0
81,27,Masters,Tier 2,Unemployed,44700.0,748,121000.0,12,0
82,48,High School,Tier 2,Salaried,53500.0,375,188000.0,27,0
83,29,Masters,Tier 2,Unemployed,60600.0,474,287000.0,1,0
84,58,Bachelors,Tier 2,Self-Employed,44500.0,756,124000.0,26,1
85,56,High School,Tier 3,Unemployed,41700.0,854,321000.0,27,0
86,22,Bachelors,Tier 1,Self-Employed,71000.0,769,123000.0,18,1
87,38,Bachelors,Tier 1,Salaried,53400.0,629,222000.0,13,0
88,37,PhD,Tier 1,Self-Employed,53100.0,815,203000.0,7,1
89,31,Bachelors,Tier 1,Salaried,51700.0,628,348000.0,12,0
90,21,High School,Tier 3,Self-Employed,39600.0,524,122000.0,28,1
91,21,Masters,Tier 1,Unemployed,47000.0,686,129000.0,24,1
92,53,High School,Tier 2,Salaried,35800.0,842,182000.0,13,1
93,50,Bachelors,Tier 3,Salaried,58400.0,522,272000.0,12,0
94,22,Masters,Tier 1,Salaried,71300.0,438,268000.0,22,0
95,22,Bachelors,Tier 2,Salaried,46900.0,391,97000.0,26,0
96,57,Bachelors,Tier 2,Salaried,60400.0,509,136000.0,9,0
97,42,Masters,Tier 3,Salaried,28800.0,779,93000.0,15,0
98,57,High School,Tier 1,Salaried,47500.0,391,360000.0,25,0
99,26,Bachelors,Tier 2,Salaried,34800.0,537,245000.0,25,1
100,24,Bachelors,Tier 3,Self-Employed,77400.0,712,265000.0,5,1
101,22,PhD,Tier 1,Salaried,79900.0,320,20000.0,17,1
102,57,Masters,Tier 1,Self-Employed,59600.0,612,227000.0,12,1
103,37,High School,Tier 1,Salaried,47900.0,734,186000.0,6,1
104,42,High School,Tier 2,Self-Employed,62300.0,511,293000.0,20,1
105,54,Bachelors,Tier 1,Salaried,74300.0,481,63000.0,8,0
106,24,Masters,Tier 3,Salaried,59200.0,588,334000.0,2,1
107,28,Bachelors,Tier 1,Salaried,64800.0,350,270000.0,8,1
108,49,Bachelors,Tier 2,Unemployed,41400.0,838,265000.0,11,1
109,29,Masters,Tier 1,Salaried,28300.0,529,103000.0,14,1
110,59,PhD,Tier 2,Self-Employed,60800.0,636,388000.0,13,0
111,27,Bachelors,Tier 3,Salaried,63300.0,404,237000.0,16,1
112,50,Masters,Tier 1,Self-Employed,32200.0,499,242000.0,14,0
113,28,Bachelors,Tier 2,Self-Employed,56300.0,827,217000.0,6,0
114,38,High School,Tier 1,Self-Employed,40200.0,671,189000.0,3,0
115,34,Bachelors,Tier 1,Self-Employed,48400.0,851,230000.0,15,1
116,56,Bachelors,Tier 1,Salaried,53000.0,626,230000.0,20,1
117,37,Masters,Tier 2,Salaried,48800.0,768,313000.0,4,1
118,59,PhD,Tier 1,Salaried,57900.0,606,264000.0,20,0
119,40,Masters,Tier 1,Salaried,115200.0,415,151000.0,25,0
120,54,Masters,Tier 1,Salaried,24200.0,308,233000.0,9,0
121,28,Masters,Tier 1,Unemployed,38800.0,727,303000.0,3,0
122,55,Masters,Tier 1,Self-Employed,85000.0,813,158000.0,7,1
123,35,Masters,Tier 1,Unemployed,87600.0,896,207000.0,24,1
124,58,PhD,Tier 3,Self-Employed,56900.0,398,316000.0,7,0
125,53,Bachelors,Tier 3,Salaried,63700.0,524,255000.0,3,1
126,50,High School,Tier 3,Salaried,66100.0,489,170000.0,12,0
127,57,High School,Tier 1,Salaried,66100.0,412,269000.0,27,0
128,28,High School,Tier 3,Unemployed,63800.0,348,301000.0,27,0
129,58,Bachelors,Tier 2,Self-Employed,15000.0,749,278000.0,2,0
130,36,Masters,Tier 3,Salaried,50800.0,444,232000.0,25,0
131,35,High School,Tier 1,Salaried,59700.0,392,384000.0,2,0
132,41,Bachelors,Tier 2,Salaried,75900.0,715,92000.0,23,0
133,35,Masters,Tier 2,Salaried,70500.0,316,245000.0,10,0
134,59,High School,Tier 2,Self-Employed,42500.0,390,272000.0,27,0
135,46,High School,Tier 2,Salaried,31100.0,703,133000.0,12,1
136,58,High School,Tier 3,Salaried,62700.0,827,145000.0,4,0
137,52,High School,Tier 3,Salaried,38500.0,824,150000.0,25,1
138,51,Masters,Tier 1,Salaried,60400.0,539,225000.0,1,0
139,44,High School,Tier 1,Salaried,79900.0,782,203000.0,7,1
140,58,High School,Tier 2,Salaried,61400.0,635,259000.0,5,0
141,24,Masters,Tier 1,Salaried,45600.0,351,322000.0,3,1
142,41,Masters,Tier 3,Unemployed,65700.0,396,157000.0,20,1
