applicant_id,age,education,city_tier,employment_type,annual_income,credit_score,loan_amount,years_at_job,loan_approved,loan_approved_encoded,education_encoded,employment_type_Self-Employed,employment_type_Unemployed,city_tier_Tier 2,city_tier_Tier 3,income_standard_scaled,income_minmax_scaled,income_robust_scaled
1,22,High School,Tier 1,Self-Employed,19900.0,873,229000.0,4,1,1,0.0,1.0,0.0,0.0,0.0,-1.8158466958612396,0.04890219560878242,-1.34944612286002
2,35,Masters,Tier 1,Unemployed,63600.0,622,241000.0,23,1,1,2.0,0.0,1.0,0.0,0.0,0.5205792183381344,0.48502994011976047,0.4108761329305136
3,25,High School,Tier 3,Salaried,68100.0,356,318000.0,11,1,1,0.0,0.0,0.0,0.0,1.0,0.7611722758643857,0.5299401197604792,0.5921450151057401
4,56,Masters,Tier 2,Self-Employed,51800.0,409,303000.0,1,0,0,2.0,1.0,0.0,1.0,0.0,-0.11030924361959134,0.36726546906187624,-0.06445115810674723
5,37,Bachelors,Tier 2,Salaried,54900.0,361,148000.0,23,0,0,1.0,0.0,0.0,1.0,0.0,0.055432640454048464,0.3982035928143713,0.06042296072507553
6,43,Bachelors,Tier 3,Salaried,51000.0,584,311000.0,17,1,1,1.0,0.0,0.0,0.0,1.0,-0.15308134273536936,0.3592814371257485,-0.09667673716012085
7,24,Masters,Tier 2,Salaried,79400.0,828,247000.0,21,1,1,2.0,0.0,0.0,1.0,0.0,1.3653281758747502,0.6427145708582835,1.0473313192346425
8,22,Bachelors,Tier 1,Self-Employed,45100.0,539,182000.0,23,1,1,1.0,1.0,0.0,0.0,0.0,-0.4685255737142322,0.3003992015968064,-0.33434038267875127
9,53,High School,Tier 1,Self-Employed,22700.0,566,132000.0,26,1,1,0.0,1.0,0.0,0.0,0.0,-1.6661443489560166,0.07684630738522955,-1.2366565961732126
10,35,High School,Tier 2,Self-Employed,40900.0,461,282000.0,13,0,0,0.0,1.0,0.0,1.0,0.0,-0.6930790940720668,0.25848303393213573,-0.5035246727089627
11,37,High School,Tier 2,Salaried,64700.0,508,275000.0,29,1,1,0.0,0.0,0.0,1.0,0.0,0.5793908546223291,0.4960079840319362,0.4551863041289023
12,24,Masters,Tier 3,Self-Employed,46300.0,669,160000.0,23,1,1,2.0,1.0,0.0,0.0,1.0,-0.40436742504056516,0.312375249500998,-0.28600201409869086
13,22,Bachelors,Tier 1,Unemployed,56500.0,360,230000.0,21,0,0,1.0,0.0,1.0,0.0,0.0,0.14097683868560448,0.41417165668662675,0.12487411883182276
14,44,High School,Tier 2,Salaried,63600.0,852,165000.0,21,1,1,0.0,0.0,0.0,1.0,0.0,0.5205792183381344,0.48502994011976047,0.4108761329305136
15,23,Masters,Tier 3,Self-Employed,83200.0,311,132000.0,19,0,0,2.0,1.0,0.0,0.0,1.0,1.5684956466746958,0.6806387225548902,1.200402819738167
16,28,High School,Tier 1,Salaried,40500.0,510,119000.0,14,1,1,0.0,0.0,0.0,0.0,0.0,-0.7144651436299558,0.25449101796407186,-0.5196374622356495
17,34,Bachelors,Tier 1,Self-Employed,52000.0,527,257000.0,23,1,1,1.0,1.0,0.0,0.0,0.0,-0.09961621884064684,0.3692614770459082,-0.05639476334340383
18,28,High School,Tier 1,Unemployed,35600.0,840,229000.0,19,1,1,0.0,0.0,1.0,0.0,0.0,-0.9764442507140961,0.2055888223552894,-0.7170191339375629
19,51,Bachelors,Tier 2,Salaried,46100.0,783,235000.0,24,1,1,1.0,0.0,0.0,1.0,0.0,-0.4150604498195097,0.31037924151696605,-0.2940584088620342
20,23,Bachelors,Tier 3,Self-Employed,58400.0,416,222000.0,15,1,1,1.0,1.0,0.0,0.0,1.0,0.24256057408557727,0.4331337325349302,0.2014098690835851
