employee_id,age,department,annual_income,years_experience,credit_score,age_imputed_simple,income_imputed_simple,department_imputed_simple,age_imputed_knn,annual_income_imputed_knn,years_experience_imputed_knn,credit_score_imputed_knn,age_imputed_iterative,annual_income_imputed_iterative,years_experience_imputed_iterative,credit_score_imputed_iterative
1,37.0,Finance,60800.0,29.0,589.0,37.0,60800.0,Finance,37.0,60800.0,29.0,589.0,37.0,60800.0,29.0,589.0
2,28.0,Marketing,85300.0,13.0,646.0,28.0,85300.0,Marketing,28.0,85300.0,13.0,646.0,28.0,85300.0,13.0,646.0
3,44.0,Finance,59700.0,32.0,585.0,44.0,59700.0,Finance,44.0,59700.0,32.0,585.0,44.0,59700.0,32.0,585.0
4,,Engineering,76300.0,10.0,613.0,42.68108108108108,76300.0,Engineering,45.4,76300.0,10.0,613.0,41.66058261800072,76300.0,10.0,613.0
5,53.0,Sales,31200.0,16.0,780.0,53.0,31200.0,Sales,53.0,31200.0,16.0,780.0,53.0,31200.0,16.0,780.0
6,26.0,Marketing,69900.0,0.0,806.0,26.0,69900.0,Marketing,26.0,69900.0,0.0,806.0,26.0,69900.0,0.0,806.0
7,,Engineering,63200.0,19.0,311.0,42.68108108108108,63200.0,Engineering,44.6,63200.0,19.0,311.0,42.36808907318253,63200.0,19.0,311.0
8,42.0,Finance,88000.0,18.0,392.0,42.0,88000.0,Finance,42.0,88000.0,18.0,392.0,42.0,88000.0,18.0,392.0
9,29.0,,54600.0,9.0,481.0,29.0,54600.0,Engineering,29.0,54600.0,9.0,481.0,29.0,54600.0,9.0,481.0
10,23.0,,47800.0,16.0,353.0,23.0,47800.0,Engineering,23.0,47800.0,16.0,353.0,23.0,47800.0,16.0,353.0
11,39.0,Finance,56700.0,32.0,,39.0,56700.0,Finance,39.0,56700.0,32.0,601.0,39.0,56700.0,32.0,603.0584396659242
12,63.0,Engineering,55600.0,26.0,831.0,63.0,55600.0,Engineering,63.0,55600.0,26.0,831.0,63.0,55600.0,26.0,831.0
