employee_id,age,department,annual_income,years_experience,credit_score
1,37.0,Finance,60800.0,29.0,589.0
2,28.0,Marketing,85300.0,13.0,646.0
3,44.0,Finance,59700.0,32.0,585.0
4,,Engineering,76300.0,10.0,613.0
5,53.0,Sales,31200.0,16.0,780.0
6,26.0,Marketing,69900.0,0.0,806.0
7,,Engineering,63200.0,19.0,311.0
8,42.0,Finance,88000.0,18.0,392.0
9,29.0,,54600.0,9.0,481.0
10,23.0,,47800.0,16.0,353.0
11,39.0,Finance,56700.0,32.0,
12,63.0,Engineering,55600.0,26.0,831.0
13,32.0,Finance,60400.0,21.0,387.0
14,56.0,Finance,15000.0,26.0,587.0
15,25.0,Engineering,52200.0,5.0,515.0
16,,Finance,72400.0,18.0,733.0
17,49.0,Engineering,86700.0,13.0,803.0
18,60.0,Sales,,29.0,802.0
19,49.0,Sales,,21.0,894.0
20,63.0,Engineering,37400.0,1.0,581.0
21,52.0,Engineering,31400.0,21.0,887.0
22,39.0,Sales,66200.0,34.0,717.0
23,59.0,Engineering,60800.0,29.0,392.0
24,54.0,Marketing,55700.0,20.0,
25,27.0,Marketing,61000.0,2.0,342.0
26,,Engineering,54400.0,3.0,572.0
27,60.0,Engineering,28900.0,6.0,517.0
28,24.0,Marketing,49500.0,3.0,
29,35.0,Marketing,33700.0,6.0,767.0
30,49.0,Marketing,67200.0,28.0,851.0
31,64.0,Engineering,38700.0,18.0,646.0
32,41.0,Finance,77400.0,0.0,
33,30.0,Sales,64500.0,22.0,666.0
34,,Marketing,68600.0,4.0,330.0
35,,Engineering,55300.0,28.0,892.0
36,48.0,Sales,,34.0,833.0
37,49.0,Sales,,16.0,633.0
38,,Sales,62100.0,29.0,817.0
39,,Sales,42300.0,13.0,675.0
40,24.0,Finance,79400.0,29.0,409.0
41,46.0,Marketing,86300.0,20.0,456.0
42,30.0,Engineering,61200.0,0.0,552.0
43,22.0,Marketing,57800.0,33.0,870.0
44,34.0,Engineering,45900.0,14.0,334.0
45,42.0,Marketing,68100.0,34.0,455.0
46,37.0,Engineering,53600.0,21.0,878.0
47,48.0,Finance,51600.0,25.0,430.0
48,58.0,Finance,63700.0,31.0,564.0
49,58.0,Engineering,84100.0,5.0,316.0
50,51.0,Engineering,68100.0,15.0,779.0
51,49.0,Sales,62100.0,,307.0
52,57.0,Engineering,51300.0,,389.0
53,41.0,Marketing,44300.0,,508.0
54,35.0,Finance,70200.0,,485.0
55,29.0,,51900.0,,434.0
56,62.0,Engineering,68700.0,,673.0
57,43.0,Sales,24600.0,,696.0
58,34.0,,32500.0,,858.0
59,39.0,Marketing,48600.0,,656.0
60,47.0,Sales,,,549.0
61,42.0,Engineering,53200.0,,650.0
62,47.0,Engineering,93400.0,,851.0
63,25.0,Engineering,93800.0,,667.0
64,32.0,Finance,67200.0,,433.0
65,57.0,Marketing,17300.0,,804.0
66,55.0,Engineering,43500.0,,552.0
67,35.0,Sales,77600.0,,744.0
68,28.0,Engineering,52400.0,,732.0
69,23.0,Engineering,55200.0,,577.0
70,57.0,Sales,62800.0,,883.0
71,36.0,Engineering,104600.0,,483.0
72,46.0,Engineering,66800.0,,824.0
73,25.0,Sales,,,815.0
74,32.0,Sales,25500.0,,354.0
75,40.0,Engineering,51100.0,,635.0
76,23.0,Engineering,79500.0,,697.0
77,54.0,,66600.0,,883.0
78,26.0,Sales,,,597.0
79,62.0,Finance,71500.0,,675.0
80,24.0,Marketing,73300.0,,572.0
81,64.0,Finance,57000.0,19.0,774.0
82,58.0,Marketing,73300.0,3.0,519.0
83,25.0,Finance,83700.0,20.0,447.0
84,24.0,Finance,35800.0,6.0,403.0
85,36.0,,76400.0,13.0,313.0
86,45.0,Finance,121500.0,2.0,308.0
87,43.0,Sales,74200.0,11.0,485.0
88,,Marketing,33700.0,30.0,465.0
89,57.0,Finance,37900.0,4.0,769.0
90,47.0,Finance,94400.0,2.0,577.0
91,36.0,Marketing,43900.0,0.0,323.0
92,46.0,Finance,48700.0,22.0,568.0
93,43.0,Finance,57700.0,27.0,606.0
94,64.0,Sales,,9.0,673.0
95,28.0,,57000.0,28.0,571.0
96,24.0,Sales,,2.0,
97,56.0,,79700.0,15.0,710.0
98,46.0,Sales,70800.0,33.0,617.0
99,,Engineering,63600.0,21.0,665.0
100,60.0,,55100.0,30.0,563.0
101,37.0,Marketing,32500.0,11.0,782.0
102,42.0,Sales,,19.0,423.0
103,47.0,Engineering,66300.0,20.0,613.0
104,63.0,Marketing,75500.0,15.0,777.0
105,27.0,Engineering,44500.0,34.0,765.0
106,63.0,Sales,41100.0,21.0,435.0
107,24.0,Engineering,69500.0,28.0,362.0
108,51.0,Finance,38600.0,9.0,715.0
109,54.0,Finance,53200.0,4.0,481.0
110,40.0,Sales,63300.0,18.0,582.0
111,34.0,Engineering,84600.0,27.0,746.0
112,32.0,Engineering,73100.0,14.0,598.0
113,50.0,Engineering,68400.0,24.0,488.0
114,23.0,Sales,75200.0,33.0,799.0
115,23.0,Engineering,54100.0,8.0,747.0
116,54.0,Engineering,106000.0,30.0,679.0
117,43.0,Engineering,69400.0,20.0,612.0
118,28.0,Marketing,57100.0,9.0,877.0
119,44.0,Finance,82700.0,6.0,674.0
120,43.0,Finance,67000.0,19.0,521.0
121,48.0,Engineering,58000.0,24.0,319.0
122,40.0,Marketing,62300.0,12.0,590.0
123,28.0,Engineering,15000.0,28.0,336.0
124,30.0,Marketing,71900.0,24.0,828.0
125,64.0,Sales,,31.0,
126,60.0,Finance,68200.0,4.0,865.0
127,54.0,Sales,,14.0,461.0
128,37.0,Marketing,99400.0,27.0,773.0
129,63.0,Finance,84600.0,32.0,773.0
130,40.0,Engineering,72900.0,1.0,542.0
131,50.0,Engineering,19200.0,8.0,522.0
132,29.0,Engineering,70100.0,29.0,733.0
133,48.0,Engineering,36100.0,12.0,
134,54.0,Engineering,45900.0,25.0,681.0
135,61.0,Finance,50200.0,17.0,373.0
136,23.0,Marketing,89500.0,16.0,716.0
137,46.0,Engineering,37500.0,8.0,753.0
138,23.0,Engineering,82200.0,9.0,696.0
139,,Engineering,38800.0,32.0,783.0
140,25.0,Sales,,30.0,886.0
141,61.0,,78100.0,34.0,619.0
142,,Marketing,60200.0,27.0,511.0
143,41.0,Engineering,38800.0,2.0,546.0
144,31.0,Marketing,80100.0,3.0,609.0
145,24.0,Engineering,58600.0,4.0,398.0
146,48.0,Engineering,48400.0,29.0,743.0
147,43.0,Engineering,81300.0,29.0,531.0
148,24.0,Marketing,43500.0,12.0,563.0
149,45.0,Engineering,32900.0,8.0,539.0
150,43.0,Engineering,51400.0,8.0,370.0
151,62.0,Sales,,32.0,828.0
152,40.0,Engineering,62900.0,18.0,310.0
153,30.0,Finance,31800.0,18.0,377.0
154,47.0,Finance,39100.0,6.0,
155,51.0,Marketing,89100.0,28.0,648.0
156,44.0,Finance,72900.0,6.0,554.0
157,35.0,Sales,,4.0,804.0
158,25.0,Finance,68100.0,16.0,502.0
159,34.0,Finance,24500.0,14.0,562.0
160,62.0,Engineering,74300.0,12.0,865.0
161,33.0,Marketing,96200.0,34.0,828.0
162,34.0,Sales,86200.0,29.0,703.0
163,46.0,Sales,,28.0,314.0
164,37.0,Marketing,39100.0,16.0,752.0
165,38.0,Marketing,57900.0,10.0,640.0
166,47.0,Marketing,15000.0,1.0,
167,26.0,Marketing,37900.0,11.0,
168,56.0,Sales,46600.0,7.0,513.0
169,45.0,Sales,30800.0,2.0,731.0
170,46.0,Sales,54200.0,34.0,723.0
171,32.0,Engineering,40200.0,26.0,497.0
172,,Engineering,95500.0,33.0,849.0
173,53.0,Marketing,86800.0,10.0,431.0
174,48.0,Marketing,22200.0,14.0,664.0
175,56.0,Sales,,13.0,479.0
176,,Engineering,39600.0,1.0,756.0
177,55.0,Sales,62900.0,29.0,353.0
178,63.0,Finance,56500.0,33.0,382.0
179,58.0,Engineering,42500.0,23.0,418.0
180,55.0,Sales,58900.0,13.0,612.0
181,26.0,Sales,55900.0,8.0,706.0
182,51.0,Marketing,15000.0,7.0,699.0
183,54.0,Sales,,28.0,392.0
184,62.0,Sales,56300.0,0.0,769.0
185,27.0,Sales,58300.0,10.0,418.0
186,49.0,Engineering,75700.0,23.0,443.0
187,28.0,Sales,72800.0,24.0,644.0
188,31.0,Engineering,57700.0,1.0,592.0
189,48.0,Engineering,26600.0,31.0,787.0
190,37.0,Engineering,23900.0,16.0,519.0
191,57.0,Marketing,77700.0,1.0,690.0
192,56.0,Finance,24600.0,12.0,442.0
193,62.0,Marketing,50500.0,17.0,480.0
194,34.0,Finance,115500.0,20.0,370.0
195,35.0,Sales,,13.0,403.0
196,43.0,Marketing,79500.0,27.0,496.0
197,53.0,Sales,57500.0,29.0,530.0
198,,Sales,57400.0,34.0,619.0
199,42.0,Sales,37700.0,19.0,328.0
200,32.0,Sales,,17.0,888.0
