passenger_id,pclass,sex,age,sibsp,parch,fare,embarked,survived
1,3,male,,1,0,58.5,S,0
2,3,female,,0,0,8.73,S,1
3,2,female,37.0,0,0,22.3,S,0
4,3,female,,0,1,2.2,C,1
5,3,male,9.0,0,0,8.17,S,0
6,3,male,16.2,1,0,1.83,S,0
7,1,female,26.5,0,1,96.39,S,1
8,1,male,20.2,1,0,30.02,,0
9,1,female,,0,0,87.49,S,0
10,2,female,29.3,0,0,41.14,S,0
11,1,female,39.5,1,2,33.96,S,1
12,3,male,,0,1,14.09,S,1
13,3,male,32.0,0,0,22.82,S,1
14,2,male,42.5,1,0,47.35,C,0
15,3,female,42.7,0,0,15.53,S,1
16,3,male,23.1,0,0,5.93,C,0
17,1,male,61.3,0,0,37.4,Q,1
18,3,male,,0,2,19.9,S,0
19,2,male,17.6,0,2,40.46,S,1
20,2,male,42.8,3,2,93.27,S,0
21,2,male,13.3,1,0,19.13,S,0
22,3,female,41.5,1,0,10.11,S,1
23,2,female,,1,0,34.75,S,1
24,1,male,40.1,0,1,72.65,S,0
25,3,male,20.8,0,0,13.67,Q,0
26,3,female,44.9,1,1,17.82,Q,1
27,2,male,39.4,0,1,147.82,S,0
28,1,male,,0,0,30.35,S,0
29,2,male,,1,0,17.65,Q,0
30,3,male,44.2,1,0,7.3,S,0
31,3,female,3.8,0,0,33.23,C,0
32,3,male,35.1,0,0,7.26,S,0
33,3,female,34.8,1,0,13.81,S,1
34,3,female,36.9,1,0,32.2,C,0
35,2,male,40.6,1,0,35.75,S,0
36,1,male,80.0,1,0,42.09,S,0
37,3,male,,1,0,75.58,S,0
38,3,male,40.3,1,0,18.15,S,0
39,2,male,31.1,0,2,16.53,S,0
40,1,female,,0,1,78.15,S,1
41,2,male,0.7,0,1,89.02,S,0
42,3,male,52.8,1,0,6.82,Q,0
43,2,female,19.4,0,0,38.06,S,1
44,2,female,0.4,1,0,17.12,S,1
45,3,female,,1,2,10.95,C,0
46,3,male,26.6,0,0,163.65,S,0
47,3,male,,0,1,16.6,S,0
48,2,female,,0,0,29.76,C,1
49,2,female,40.4,0,0,22.64,S,1
50,3,female,28.5,1,1,5.51,S,0
51,1,male,28.1,0,0,32.53,C,0
52,1,male,0.4,0,0,30.01,S,0
53,3,female,,0,0,49.53,S,0
54,1,male,43.1,0,1,59.6,S,1
55,3,female,23.1,0,1,0.6,S,1
56,2,male,2.7,2,0,17.9,S,0
57,3,male,10.3,0,0,113.98,S,0
58,3,female,52.4,1,2,47.94,S,0
59,3,male,20.5,0,0,5.62,S,0
60,3,male,19.7,2,2,145.47,S,0
61,2,male,17.5,0,0,43.34,S,0
62,3,female,38.5,1,0,15.35,S,0
63,2,male,20.8,1,0,18.46,S,0
64,3,female,16.8,0,0,1.97,S,1
65,2,female,7.9,0,1,25.5,S,1
66,2,male,,2,1,19.91,S,0
67,1,male,43.0,2,0,46.52,S,1
