house_id,sqft,bedrooms,bathrooms,age_years,distance_to_city_km,garage,price
1,1373.0,2,3,10,1.01,1,300451.0
2,2252.0,4,1,42,1.0,1,370595.0
3,1773.0,5,3,12,4.69,1,346060.0
4,2071.0,5,1,42,5.75,0,328329.0
5,2607.0,4,3,16,7.69,1,458245.0
6,2119.0,2,3,15,8.12,1,350636.0
7,2610.0,4,1,22,8.03,1,385778.0
8,2317.0,5,2,15,3.87,1,419192.0
9,2687.0,5,1,14,19.62,1,356605.0
10,1173.0,1,1,6,9.24,1,210877.0
11,1327.0,2,1,45,16.34,1,198503.0
12,1043.0,1,3,24,2.67,1,200378.0
13,2138.0,1,1,16,20.63,1,267081.0
14,1654.0,4,2,7,1.79,0,266070.0
15,2348.0,5,3,19,5.71,1,425143.0
16,1990.0,4,2,4,9.44,1,339207.0
17,1876.0,4,3,46,5.88,0,271622.0
18,3090.0,3,1,37,11.23,0,389106.0
19,2164.0,3,3,30,3.03,0,362018.0
20,1784.0,3,1,24,10.45,1,304171.0
21,1210.0,5,1,24,40.0,1,159628.0
22,2514.0,2,2,9,25.48,0,338833.0
23,2372.0,2,1,11,7.31,1,352056.0
24,1148.0,3,3,30,0.85,1,239484.0
25,1713.0,5,1,12,1.3,1,375944.0
26,1943.0,2,2,31,0.62,1,341643.0
27,817.0,5,3,34,3.76,1,258247.0
28,1633.0,3,1,1,2.49,0,277012.0
29,2640.0,3,2,3,2.62,1,420281.0
30,831.0,1,3,2,6.93,1,204856.0
31,2095.0,2,2,30,0.7,0,318439.0
32,2936.0,2,3,24,15.87,1,438656.0
33,1427.0,5,2,7,4.05,1,328940.0
34,1528.0,4,1,14,10.87,1,260820.0
35,1930.0,1,1,2,1.52,1,350595.0
36,2109.0,5,2,12,1.12,1,413521.0
37,2038.0,2,2,26,2.69,0,309672.0
38,892.0,1,2,9,2.58,1,250260.0
39,1342.0,1,1,2,17.33,1,263899.0
40,1861.0,5,3,28,20.69,0,266825.0
41,1610.0,3,2,1,2.34,1,319068.0
42,2483.0,5,2,24,12.09,0,392083.0
43,1607.0,5,3,35,9.08,1,308396.0
44,1578.0,4,1,23,0.5,1,288145.0
45,2910.0,1,2,41,2.48,1,398564.0
46,1751.0,5,3,37,8.56,0,317002.0
47,1212.0,3,3,17,8.73,1,269913.0
48,1799.0,4,1,21,37.83,0,224893.0
49,1661.0,2,3,30,12.43,1,287676.0
50,2227.0,5,2,43,16.33,1,372465.0
51,2072.0,3,2,15,3.0,0,353755.0
52,1600.0,4,3,32,2.2,0,355952.0
53,1569.0,2,1,29,3.45,1,303504.0
54,1482.0,1,2,18,6.33,1,259287.0
55,2610.0,2,2,14,21.68,0,330517.0
56,3009.0,5,3,18,1.13,1,546906.0
57,1765.0,5,1,42,22.06,1,252117.0
58,2139.0,4,3,40,6.27,0,314866.0
59,2016.0,5,2,38,1.31,1,387293.0
60,1493.0,2,3,34,8.56,1,257472.0
61,1486.0,3,3,7,2.74,1,322292.0
62,1511.0,1,2,45,7.51,1,265781.0
63,646.0,1,3,2,3.57,0,172559.0
64,1346.0,5,3,9,7.24,1,293969.0
65,2072.0,4,1,12,3.58,1,312940.0
66,2353.0,3,3,39,0.5,1,370343.0
67,1676.0,4,3,34,17.49,1,280281.0
68,1574.0,5,2,1,27.67,0,280901.0
69,2184.0,5,3,46,8.16,1,389906.0
70,3032.0,1,2,26,1.22,1,408255.0
71,1243.0,4,3,45,4.36,1,263510.0
72,1335.0,2,1,2,9.66,1,274436.0
73,1538.0,3,2,20,1.82,1,348180.0
74,2129.0,4,3,48,11.13,1,357750.0
75,1288.0,1,3,3,1.17,0,244922.0
76,2079.0,5,1,17,0.92,1,398404.0
77,1367.0,4,3,48,12.64,1,301136.0
78,2137.0,4,2,6,3.41,1,355112.0
79,1611.0,2,1,26,1.33,1,285370.0
80,1542.0,4,3,13,8.54,1,288441.0
81,2289.0,3,3,20,8.83,1,366985.0
82,1089.0,5,2,1,3.16,0,280925.0
83,1339.0,5,2,24,2.09,0,285587.0
84,2237.0,3,3,46,0.64,1,347393.0
85,2260.0,5,3,46,10.09,1,398357.0
86,1925.0,2,3,26,7.42,0,339313.0
87,500.0,3,2,49,15.82,0,143483.0
88,2233.0,4,1,10,3.01,1,384897.0
89,2009.0,1,2,0,8.39,1,365224.0
90,1597.0,2,2,4,4.85,0,288853.0
91,633.0,1,2,40,2.58,1,139141.0
92,2299.0,1,1,6,5.73,1,372146.0
93,2850.0,4,2,10,25.78,1,432488.0
94,2101.0,1,2,42,2.12,0,330567.0
95,2598.0,4,2,2,0.5,1,466147.0
96,1405.0,3,1,42,40.0,1,138264.0
97,1911.0,4,3,27,0.5,1,360697.0
98,1409.0,5,1,35,7.8,1,238571.0
99,1128.0,2,2,42,4.64,0,162266.0
100,1592.0,3,3,5,0.66,1,350608.0
101,1253.0,4,1,36,12.02,1,242571.0
