age,income,loan_amount,credit_score,employment_type,loan_approved
25,35000,150000,650,Salaried,1
32,52000,200000,720,Salaried,1
45,28000,180000,580,Self-employed,0
29,45000,120000,690,Salaried,1
51,30000,250000,560,Unemployed,0
38,60000,300000,750,Salaried,1
24,22000,100000,610,Self-employed,0
41,48000,175000,700,Salaried,1
35,40000,220000,640,Self-employed,0
55,70000,350000,780,Salaried,1
27,30000,140000,630,Unemployed,0
46,55000,280000,710,Self-employed,1
31,42000,160000,680,Salaried,1
39,25000,200000,590,Unemployed,0
52,65000,300000,760,Salaried,1
28,38000,130000,670,Self-employed,1
43,33000,240000,600,Unemployed,0
36,58000,210000,730,Salaried,1
23,20000,90000,570,Unemployed,0
48,50000,260000,695,Self-employed,1
33,47000,190000,680,Salaried,1
57,32000,280000,550,Unemployed,0
26,36000,110000,640,Self-employed,1
44,62000,270000,740,Salaried,1
37,29000,180000,610,Unemployed,0
30,51000,150000,705,Salaried,1
50,41000,250000,590,Self-employed,0
34,46000,170000,690,Salaried,1
42,35000,230000,620,Unemployed,0
29,60000,180000,750,Salaried,1
