student_id,study_hours,sleep_hours,exam_score
1,4.4,8.8,53.2
2,9.6,7.9,91.1
3,7.6,8.7,78.7
4,6.4,8.5,58.3
5,2.4,7.0,32.1
6,2.4,8.6,38.2
7,1.5,4.4,28.2
8,8.8,5.0,77.8
9,6.4,4.2,55.6
10,7.4,5.6,67.9
11,1.2,5.9,26.0
12,9.7,5.4,90.0
13,8.5,8.1,81.6
14,2.9,5.8,37.4
15,2.6,5.4,32.1
16,2.7,6.7,39.8
17,3.7,4.7,35.5
18,5.7,8.0,60.0
19,4.9,4.4,46.0
20,3.6,8.9,39.3
21,6.5,7.9,69.3
22,2.3,5.0,29.7
23,3.6,4.0,36.8
24,4.3,8.1,49.4
25,5.1,7.5,48.7
26,8.1,7.6,77.9
27,2.8,7.9,36.5
28,5.6,4.4,49.6
29,6.3,5.8,61.2
30,1.4,4.6,22.4
31,6.5,8.3,78.0
32,2.5,7.1,35.1
33,1.6,5.7,25.5
34,9.5,4.3,84.2
35,9.7,5.6,79.2
36,8.3,5.6,77.5
37,3.7,7.6,45.1
38,1.9,7.2,41.9
39,7.2,8.4,73.4
40,5.0,6.4,54.3
41,2.1,4.6,25.8
42,5.5,7.6,53.4
43,1.3,7.8,31.7
44,9.2,6.8,91.0
45,3.3,7.9,46.2
46,7.0,6.5,64.5
47,3.8,6.6,50.6
48,5.7,6.1,50.8
49,5.9,4.1,58.3
50,2.7,4.5,41.6
